subject_ID,subject_index,run,Ixr,Iry,Iry_CI_lower,Iry_CI_upper,info_efficiency,info_efficiency_CI_lower,info_efficiency_CI_upper,bound_class,opt_betastar,opt_loss,opt_BIC,oneback_betastar,oneback_loss,oneback_BIC,fullparam_betastar,fullparam_h,fullparam_loss,fullparam_BIC,best_model,best_model_betastar,best_model_loss,best_model_BIC
6107f24d21eaa93618cf9191,0.0,1.0,0.5825288565992343,0.45423932752943996,0.3753348817314893,0.5408547113028177,1.018444174620777,0.8415335279542454,1.2126434164969053,full,2.410763432905429,166.080933446477,338.36237606699666,2.0988237531079443,260.44736344638983,527.0952360668224,2.824846125896208,0.9580193148326704,156.9552875595785,326.31159346724235,fullparam,2.824846125896208,156.9552875595785,326.31159346724235
6107f24d21eaa93618cf9191,0.0,2.0,0.7834223352206082,0.5548430254599173,0.4686673795206686,0.6454224328029973,0.9629446465244595,0.8133845491452026,1.1201475875077707,full,3.972164495743346,70.80257627417137,147.80566172238542,2.059816943349257,262.9424979696679,532.0855051133785,4.018743466567636,0.988208013467933,70.70688731565463,153.81479297939464,fully_optimal,3.972164495743346,70.80257627417137,147.80566172238542
5f4d296913fe2f98d46f520c,1.0,1.0,0.22903278860380394,0.10527908839409218,0.06311479669316772,0.15829236055501764,0.5782365647417963,0.34665272829511073,0.8694075166150425,1back,1.0082637805221109,295.33719271776886,596.8748946095805,1.90855426221641,272.4636588897422,551.1278269535271,1.8327673096486805,0.6912147065549301,268.74221994612424,549.8854582403338,fullparam,1.8327673096486805,268.74221994612424,549.8854582403338
5f4d296913fe2f98d46f520c,1.0,2.0,-0.02798963026600546,0.004792133133070246,-0.0014690623456029834,0.02119317452036053,-1239141749721.955,379867677886.2429,-5480095529085.825,1back,0.3533397660902304,335.4576290596842,677.1157672934112,0.4696140242956174,336.877070489797,679.9546501536367,0.4586173338400048,0.901089027425702,334.2984421708601,680.9979026898055,fully_optimal,0.3533397660902304,335.4576290596842,677.1157672934112
6441a242a7d85d5c3e49a173,2.0,1.0,0.8677993972328792,0.635839435949211,0.5537943480860599,0.7181460091879257,1.0222465477403426,0.8903416939592088,1.1545717946385776,full,4.453652917700945,54.17908398717259,114.55867714838789,2.0022296903749037,266.5981779598343,539.3968650937113,4.406660637907826,0.9915878071417792,54.07823952429322,120.55749739667183,fully_optimal,4.453652917700945,54.17908398717259,114.55867714838789
6441a242a7d85d5c3e49a173,2.0,2.0,0.8785347103599025,0.6466759467041558,0.5616457614751937,0.7251462117782533,1.031037210048622,0.8954680963446079,1.1561474195532697,full,4.797159307179979,44.93203960787922,96.06458838980112,2.059817156790741,262.942497969666,532.0855051133748,4.743503289516129,0.9915428773325732,44.83146307196005,102.06394449200548,fully_optimal,4.797159307179979,44.93203960787922,96.06458838980112
6108db64c7f625e1c1f8527f,3.0,1.0,0.6993653832685095,0.5502926452263196,0.4731412131645251,0.6306125852357048,1.0491210953212975,0.9020335490630922,1.202249333849965,full,3.1713197468306644,110.74557905900936,227.69166729206145,2.475987572826958,235.7890680851665,477.7786453443757,4.026362173159715,0.9521035377989244,96.46874995015126,205.3385182483879,fullparam,4.026362173159715,96.46874995015126,205.3385182483879
6108db64c7f625e1c1f8527f,3.0,2.0,0.8095456828398062,0.6045354581230917,0.528090347368188,0.6770722265441569,1.022599441673079,0.8932890322898065,1.1452987108250423,full,4.005049997090034,69.51161098788086,145.2237311498044,2.40944440214986,240.1857079306103,486.5719250352633,5.551557687106963,0.9580006391816124,51.22424895796905,114.84951626402348,fullparam,5.551557687106963,51.22424895796905,114.84951626402348
661f0e896898093f2e1e62f7,4.0,1.0,0.36649679604336943,0.17783645181489127,0.12550600978221224,0.2390179690193671,0.6171326148427837,0.43553417314017157,0.8294462845495323,none,1.4515631369419748,255.32234808639663,516.845205346836,2.735701716004056,218.6050361362294,443.4105814465015,2.733910909505975,0.7679594133638084,205.12313465451868,422.6472876571227,fullparam,2.733910909505975,205.12313465451868,422.6472876571227
661f0e896898093f2e1e62f7,4.0,2.0,0.3567342483921014,0.16635774269225684,0.11509363963410414,0.22501276512568993,0.5924809823892732,0.4099045320861099,0.8013800979399847,1back,1.2502977969486857,274.1934969841211,554.587503142285,2.9432775606497183,204.98263925360868,416.16578768126,2.882219337369164,0.6539337669093434,200.14845043376295,412.6979192156113,fullparam,2.882219337369164,200.14845043376295,412.6979192156113
5654171504212700054a12ad,5.0,1.0,0.8722914091142627,0.2732049435872664,0.20479943834047995,0.3437100871098976,0.4376782434209249,0.32809164156951615,0.5506284959454318,1back,1.7281086739140614,228.6505707964044,463.5016507668515,7.634794658918863,27.92991518454106,62.06033954312481,7.707755178397086,0.617493184660353,27.03086000024809,66.46273834858155,oneback,7.634794658918863,27.92991518454106,62.06033954312481
5654171504212700054a12ad,5.0,2.0,0.7166237035948804,0.35766048729320027,0.2824056862615304,0.43498256339208247,0.6679273317531869,0.527389754244675,0.812325524478361,none,2.161970496115033,187.8168159550496,381.8341410841419,4.090892502070432,136.35599069321808,278.91249056047883,5.8905824436888015,0.8254003425957092,87.08528688704064,186.57159212216663,fullparam,5.8905824436888015,87.08528688704064,186.57159212216663
65ebb614d2f7accb27486117,6.0,1.0,0.8831287940493521,0.6222009328204692,0.5412570306142876,0.7118541022048109,0.9885685659549308,0.8599628485638742,1.1310117871340386,full,5.54095780378694,30.48013587532265,67.160780924688,2.158309457809229,256.6161226246418,519.4327544233263,6.161569776026204,0.982181891464974,28.44651705075283,69.29405244959105,fully_optimal,5.54095780378694,30.48013587532265,67.160780924688
65ebb614d2f7accb27486117,6.0,2.0,0.8247153070065965,0.5972780928025759,0.5156706402115474,0.689065794927447,0.9961844121384795,0.8600734896634037,1.1492747048926628,full,4.696995059031572,47.43201282723056,101.0645348285038,2.219029653877713,252.67670875715396,511.55392668835054,5.113766866845806,0.9812514832066216,45.2951373527087,102.99129305350276,fully_optimal,4.696995059031572,47.43201282723056,101.0645348285038
5e35de293e64955878774717,7.0,1.0,0.4118051985090764,0.25658147243091906,0.19427116562520458,0.32739322512401137,0.7957600119594296,0.6025112554567134,1.0153750942023398,full,1.6719746479034905,234.07686602610028,474.3542412262432,2.453621163497253,237.2679413646011,480.7363919032449,2.5416342984463784,0.8745109641868443,205.7194290957095,423.8398765395044,fullparam,2.5416342984463784,205.7194290957095,423.8398765395044
5e35de293e64955878774717,7.0,2.0,0.3440785574549048,0.2551587407016127,0.1880754966590033,0.3296749254512063,0.9408190617521892,0.6934703150625093,1.2155744819611678,full,1.7264516210879577,228.81059959030625,463.8217083546552,1.676793651484929,286.4362260634764,579.0729613009955,1.7975874836129448,0.9798072895645976,228.07789024093728,468.5567988299599,fully_optimal,1.7264516210879577,228.81059959030625,463.8217083546552
60d6befca58e40d0c63bba9f,8.0,1.0,-0.01977100368299654,0.00875975588273423,-0.001020607503998945,0.027737033994720797,-2265082987106.8545,263906976948.77075,-7172195738705.463,1back,0.0,341.72156001605305,689.6436292061488,0.0,341.72156001605305,689.6436292061488,0.0,0.3460521024956573,341.72156001605305,695.8441383801915,oneback,0.0,341.72156001605305,689.6436292061488
60d6befca58e40d0c63bba9f,8.0,2.0,0.07192157418804726,0.0028124162723840644,-0.0016856915387388417,0.02032769441655214,0.048481328406529564,-0.0290584882060964,0.3504152775794563,none,0.1859126851583935,339.9699328179827,686.1403748100081,0.8351682846633325,326.7198829831218,659.6402751402863,0.989616438339624,0.2483897509168596,323.965667655135,660.3323536583554,oneback,0.8351682846633325,326.7198829831218,659.6402751402863
5f4825f51e38a119965b561a,9.0,1.0,0.39996421635938734,0.22228358656788827,0.16181376414839796,0.29313351139990695,0.7090848131558231,0.5161860328457685,0.9350961281940234,none,1.4407122587811767,256.358168662313,518.9168464986687,2.662194424817323,223.462816879604,453.1261429332507,2.5850060404704025,0.7847355880199338,213.59755573229185,439.596129812669,fullparam,2.5850060404704025,213.59755573229185,439.596129812669
5f4825f51e38a119965b561a,9.0,2.0,0.5606884559281111,0.3539790695252939,0.28149353584732395,0.4348402616779734,0.8218647682653769,0.6535686415516474,1.0096074080755404,full,2.081012657172212,195.20418605301955,396.6088812800818,3.082911661193191,195.94545579310187,398.0914207602464,3.678841835778596,0.8655172791623987,145.53580791130895,303.47263417070326,fullparam,3.678841835778596,145.53580791130895,303.47263417070326
5fc44569444cef8809245f94,10.0,1.0,0.9251444357813912,0.2698089261201851,0.20241266843385083,0.3389904597283855,0.4167351152236065,0.312637791178651,0.5235898986962514,1back,1.7160459709591631,229.81577205191616,465.832053277875,31.444719628480435,3.1556293856835e-06,6.2005154853014615,35.12718266688015,0.5133104889632467,3.3015165014423614e-07,12.40101900838868,oneback,31.444719628480435,3.1556293856835e-06,6.2005154853014615
5fc44569444cef8809245f94,10.0,2.0,0.9162351177263296,0.2732049435872664,0.20522729617752858,0.3436933896216455,0.4242827655083877,0.3187146017077752,0.5337501581081204,1back,1.724463049956763,229.0026491552564,464.2058074845554,10.33079780608252,7.199494288830626,20.599497751703943,10.918069915356272,0.6302560404914723,6.506621611096345,25.41426157027807,oneback,10.33079780608252,7.199494288830626,20.599497751703943
60bf9943e4e04642d4634ecc,11.0,1.0,0.17856349874210425,0.05772462239695276,0.02664029831307814,0.09814587663708335,0.405438798943181,0.18711271036590843,0.689344419982993,1back,0.7154761119121197,317.0978374692461,640.3961841125349,1.8355311518684887,276.956235006079,560.1129791862007,1.9699988805099928,0.3722828121340573,274.9775215397316,562.3560614275485,oneback,1.8355311518684887,276.956235006079,560.1129791862007
60bf9943e4e04642d4634ecc,11.0,2.0,0.26777419581983714,0.0918739406259255,0.05210677834820283,0.13823279610455513,0.43226874664501846,0.2451634447682702,0.6503880981947432,1back,0.8856172816067782,305.0652330216467,616.3309752173361,2.3876250710521205,241.6248199977888,489.4501491696203,2.418682252399154,0.4706950034966729,241.4756395611094,495.35229747030417,oneback,2.3876250710521205,241.6248199977888,489.4501491696203
61103c2b7810420e5f23f437,12.0,1.0,0.563670452908768,0.38502814347231806,0.30657428554189614,0.47370103565764227,0.8896362408655374,0.7083627510339103,1.0945215714779957,full,2.379553664194093,168.71971157959695,343.6399323332366,2.590776500701872,228.1901888501084,462.5808868742594,3.054056070711872,0.9350631129066096,154.09765125907853,320.5963208662424,fullparam,3.054056070711872,154.09765125907853,320.5963208662424
61103c2b7810420e5f23f437,12.0,2.0,0.6161941255717348,0.44796597904802943,0.3733430382484449,0.5323259609324728,0.9545341845227976,0.795526243575596,1.1342899925097063,full,2.51778710274808,157.23926186251884,320.6790328990804,2.8633222320122957,210.20817549247477,426.61686015899215,3.6549571563551466,0.9105841301723634,133.18171096612502,278.7644402803354,fullparam,3.6549571563551466,133.18171096612502,278.7644402803354
5bed01c8306ec30001fb80e2,13.0,1.0,0.6959225203326367,0.4989062143648022,0.41251167248037796,0.5872870048832837,0.9552373165823311,0.789820875614344,1.124456754507728,full,2.965272851698829,123.98421528334384,254.1689397407304,2.021305486662205,265.3911232547887,536.9827556836201,3.373860953549826,0.9674564990756348,117.43587925163524,247.27277685135584,fullparam,3.373860953549826,117.43587925163524,247.27277685135584
5bed01c8306ec30001fb80e2,13.0,2.0,0.7664747075246539,0.5140367939934041,0.43550700663832825,0.6030038297196274,0.9078535798857853,0.7691601061674627,1.064980545931167,full,3.391760479773032,97.99512139696928,202.1907519679812,1.764076795422906,281.27546279790647,568.7514347698557,3.284653226758285,1.0,92.4343698326906,197.26975801346657,fullparam,3.284653226758285,92.4343698326906,197.26975801346657
6642864514779d1334695e65,14.0,1.0,0.7314425561173592,0.5126805006922501,0.43714500439276605,0.5965293154972278,0.9410658932127922,0.8024144734721076,1.0949770712129994,full,3.324541960196312,101.7321218969565,209.66475296795568,2.1383475266757603,257.9051129021976,522.0107349784379,3.6442245913951914,0.9753147204963112,97.97585117321852,208.35272069452245,fullparam,3.6442245913951914,97.97585117321852,208.35272069452245
6642864514779d1334695e65,14.0,2.0,0.8358728258779159,0.6167407486328934,0.5345355365258118,0.7045439765318356,1.0183856598859171,0.8826453032396216,1.1633696720209776,full,4.47249951567974,53.62031503026904,113.44113923458076,2.2395579271562247,251.3391398937726,508.8787889615879,5.233019605592975,0.974499321481662,47.929737985170746,108.26049431842688,fullparam,5.233019605592975,47.929737985170746,108.26049431842688
659d779096ebe05ecca2ebce,15.0,1.0,-0.035681405268026004,-0.0006599295255309918,-0.001814661321078218,0.009155295431481686,170643470089.85025,469232081436.96954,-2367360940350.014,full,0.0,341.72156001605305,689.6436292061488,0.0,341.72156001605305,689.6436292061488,0.0,0.3391970013443068,341.72156001605305,695.8441383801915,oneback,0.0,341.72156001605305,689.6436292061488
659d779096ebe05ecca2ebce,15.0,2.0,-0.05348570946501982,0.0063861527681283795,-0.001747291913271274,0.02642833728437971,-1651320673977.2578,451811812936.5942,-6833795137871.478,1back,0.0,341.72156001605305,689.6436292061488,0.0338076948129399,341.6962046117929,689.5929183976286,0.16863671802264,0.1702868245704458,341.1770204144535,694.7550591769924,oneback,0.0338076948129399,341.6962046117929,689.5929183976286
660468936857e5fb0964cd60,16.0,1.0,0.4076971870683973,0.15476606124567321,0.10677794565854579,0.21780632156764249,0.48466088585641937,0.33438270197140013,0.682075927412367,1back,1.1235271761109322,285.5427673937947,577.2860439616321,2.9981281455474877,201.41792412301564,409.036357420074,2.931793909229764,0.6472062816430701,197.1902594854725,406.7815373190304,fullparam,2.931793909229764,197.1902594854725,406.7815373190304
660468936857e5fb0964cd60,16.0,2.0,0.709276993621508,0.24543316989798028,0.18330264384365808,0.3209293449637887,0.46232856144360085,0.3452917454974555,0.6045425825849898,1back,1.5152030923698023,249.22003545247105,504.6405800789848,4.6830544258642135,107.50190292002056,221.2043150140838,4.646933630479454,0.6304196069180787,104.22891271683773,220.85884378176084,fullparam,4.646933630479454,104.22891271683773,220.85884378176084
610ad9de7928e140edf063f8,17.0,1.0,0.4805021470693224,0.34039934366793145,0.26947907789889686,0.41758088698469153,0.9123360960014555,0.7222560632319849,1.119197563929761,full,2.125778910804665,191.10224901129504,388.4050071966327,2.1986474142649515,254.0020046247679,514.2045184235785,2.5875110144567053,0.9470531311129804,179.29163172810792,370.9842818043012,fullparam,2.5875110144567053,179.29163172810792,370.9842818043012
610ad9de7928e140edf063f8,17.0,2.0,0.5506597604188428,0.4315251405829791,0.34817855752015475,0.5167739482120184,1.0185359771398963,0.8218116488505198,1.2197501577578573,full,2.636164297492304,147.84805052250312,301.8966102190489,2.344505313295566,244.4640302314438,495.1285696369303,3.123852599901099,0.957266846226398,138.21061273179288,288.8222438116711,fullparam,3.123852599901099,138.21061273179288,288.8222438116711
62950797c66ad6f3715bb6e6,18.0,1.0,0.8419333246228655,0.6136977501674213,0.5268694151099793,0.6967392006531041,1.0080416258799347,0.8654199916636227,1.1444430364117142,full,4.17547883468016,63.20331809377777,132.6071453615982,1.9456923490551783,270.1511545171103,546.5028182082633,4.127063864835039,0.9918897149306958,63.06449306600683,138.53000448009905,fully_optimal,4.17547883468016,63.20331809377777,132.6071453615982
62950797c66ad6f3715bb6e6,18.0,2.0,0.7825017998863552,0.550773646763125,0.4691711454147826,0.6361517837667142,0.9567765775196957,0.8150207719978462,1.105091229459522,full,3.636861809067928,85.44288441245314,177.08627799894896,1.9456920637145376,270.15115451710847,546.5028182082597,3.663260418833601,0.9887669718347936,85.40209891417611,183.2052161764376,fully_optimal,3.636861809067928,85.44288441245314,177.08627799894896
6542923cf0793b2a3dc55d69,19.0,1.0,0.55274324003672,0.23716447650270012,0.17714855621884934,0.30504463447190877,0.5578600925787779,0.4166901866153594,0.7175283184757271,1back,1.5926428132688335,241.75024896912015,489.70100711228304,3.56300197490467,166.11755936475294,338.4356279035485,3.4775845592222705,0.6946879361003825,162.59356992300536,337.5881581940961,fullparam,3.4775845592222705,162.59356992300536,337.5881581940961
6542923cf0793b2a3dc55d69,19.0,2.0,0.6887067387248536,0.2671267463803904,0.19720980054947948,0.3395577706757874,0.5161014228550067,0.3810185990121806,0.6560415643954126,1back,1.7354171184151612,227.9449081627247,462.09032549949205,4.560882310084861,113.0474753112563,232.2954597965553,4.642150479786856,0.7098061844520774,107.5080210926373,227.41706053336,fullparam,4.642150479786856,107.5080210926373,227.41706053336
5fd85c9f4bf0b61a395593c7,20.0,1.0,0.7647836181903491,0.5722652104939189,0.49262790296807074,0.6537612016248066,1.0125254008672124,0.8716208075982987,1.1567186168372223,full,3.522108207605137,91.11418230313352,188.42887378030971,2.7357014510994992,218.6050361362294,443.4105814465015,5.939773662956552,0.9310014543506252,57.49925173046827,127.39952180902192,fullparam,5.939773662956552,57.49925173046827,127.39952180902192
5fd85c9f4bf0b61a395593c7,20.0,2.0,0.7900343012007548,0.557985854524844,0.47809146571409433,0.6462319407519895,0.9619398752063052,0.8242059205207664,1.1140717410670835,full,3.530973454771156,90.66336206093033,187.52723329590333,2.811466131571405,213.61293705162785,433.4263832772984,5.657264232016364,0.9352187633042488,60.3048783469481,133.0107750419816,fullparam,5.657264232016364,60.3048783469481,133.0107750419816
62d2aee15e1dc6709bdcace0,21.0,1.0,0.4455067807038819,0.33194119560281643,0.25979938021954463,0.40677907106785605,0.9548609663121216,0.7473380542394475,1.1701393560688391,full,2.131878321195364,190.54657408287173,387.2936573397861,1.7289023528737069,283.37121482061707,572.9429388152769,2.0771550075901684,0.9964022059099183,189.97002159089996,392.3410615298852,fully_optimal,2.131878321195364,190.54657408287173,387.2936573397861
62d2aee15e1dc6709bdcace0,21.0,2.0,0.6808448621827654,0.49314893755835587,0.41178167018648715,0.582889241304356,0.96230633616214,0.8035302930952669,1.137421106420916,full,3.1532832730327525,111.85272627824423,229.90596173053115,1.817524839204383,278.0521470170685,562.3048032081797,3.127182941915665,0.9916844619079084,111.76818345786378,235.93738526381296,fully_optimal,3.1532832730327525,111.85272627824423,229.90596173053115
5dd742a140460e6e2b707d58,22.0,1.0,0.20517961766292026,0.140939404622511,0.09286937493391803,0.19468710348535065,0.8630230519866338,0.5686728392689657,1.1921396906875301,full,1.2069899947906395,278.12878529250025,562.4580797590432,1.8718387742303688,274.7318529962301,555.6642151665029,1.7368702983712585,0.8615598794667058,263.51112866160486,539.4232756712951,fullparam,1.7368702983712585,263.51112866160486,539.4232756712951
5dd742a140460e6e2b707d58,22.0,2.0,0.5352764935732818,0.3943146892365121,0.318472801594912,0.470545915249431,0.955016292325181,0.7713299110780958,1.1396456373978259,full,2.3179202431250987,174.0079051466402,354.2163194673231,2.365980157264803,243.0508929893193,492.3022951526813,3.096778126318599,0.9314078140040536,153.2448236574108,318.89066566290694,fullparam,3.096778126318599,153.2448236574108,318.89066566290694
