strategy,X,posterior_prob
fully-optimal,14.0,[0.00627001]
equal-weights,14.0,[0.03356594]
ignore-weak,14.0,[0.00990099]
fully-optimal,23.0,[0.01243274 0.01243274 0.01243274 0.01243274]
equal-weights,23.0,[0.03356594 0.03356594 0.03356594 0.03356594]
ignore-weak,23.0,[0.03065343 0.03065343 0.03065343 0.03065343]
fully-optimal,32.0,"[0.02450337 0.02450337 0.02450337 0.02450337 0.02450337 0.02450337
 0.02450337]"
equal-weights,32.0,"[0.03356594 0.03356594 0.03356594 0.03356594 0.03356594 0.03356594
 0.03356594]"
ignore-weak,32.0,"[0.09090909 0.09090909 0.09090909 0.09090909 0.09090909 0.09090909
 0.09090909]"
fully-optimal,41.0,[0.04772672 0.04772672 0.04772672 0.04772672 0.04772672]
equal-weights,41.0,[0.03356594 0.03356594 0.03356594 0.03356594 0.03356594]
ignore-weak,41.0,[0.24025307 0.24025307 0.24025307 0.24025307 0.24025307]
fully-optimal,50.0,[0.09090909 0.09090909]
equal-weights,50.0,[0.03356594 0.03356594]
ignore-weak,50.0,[0.09090909 0.09090909]
fully-optimal,104.0,[0.01560166]
equal-weights,104.0,[0.11752693]
ignore-weak,104.0,[0.00990099]
fully-optimal,113.0,[0.03065343 0.03065343 0.03065343 0.03065343 0.03065343]
equal-weights,113.0,[0.11752693 0.11752693 0.11752693 0.11752693 0.11752693]
ignore-weak,113.0,[0.03065343 0.03065343 0.03065343 0.03065343 0.03065343]
fully-optimal,122.0,"[0.05935094 0.05935094 0.05935094 0.05935094 0.05935094 0.05935094
 0.05935094 0.05935094 0.05935094 0.05935094 0.05935094 0.05935094
 0.05935094]"
equal-weights,122.0,"[0.11752693 0.11752693 0.11752693 0.11752693 0.11752693 0.11752693
 0.11752693 0.11752693 0.11752693 0.11752693 0.11752693 0.11752693
 0.11752693]"
ignore-weak,122.0,"[0.09090909 0.09090909 0.09090909 0.09090909 0.09090909 0.09090909
 0.09090909 0.09090909 0.09090909 0.09090909 0.09090909 0.09090909
 0.09090909]"
fully-optimal,131.0,"[0.11181577 0.11181577 0.11181577 0.11181577 0.11181577 0.11181577
 0.11181577 0.11181577 0.11181577 0.11181577 0.11181577 0.11181577
 0.11181577 0.11181577 0.11181577]"
equal-weights,131.0,"[0.11752693 0.11752693 0.11752693 0.11752693 0.11752693 0.11752693
 0.11752693 0.11752693 0.11752693 0.11752693 0.11752693 0.11752693
 0.11752693 0.11752693 0.11752693]"
ignore-weak,131.0,"[0.24025307 0.24025307 0.24025307 0.24025307 0.24025307 0.24025307
 0.24025307 0.24025307 0.24025307 0.24025307 0.24025307 0.24025307
 0.24025307 0.24025307 0.24025307]"
fully-optimal,140.0,[0.20076001 0.20076001 0.20076001 0.20076001 0.20076001 0.20076001]
equal-weights,140.0,[0.11752693 0.11752693 0.11752693 0.11752693 0.11752693 0.11752693]
ignore-weak,140.0,[0.20076001 0.20076001 0.20076001 0.20076001 0.20076001 0.20076001]
fully-optimal,203.0,[0.07358756 0.07358756]
equal-weights,203.0,[0.33804462 0.33804462]
ignore-weak,203.0,[0.03065343 0.03065343]
fully-optimal,212.0,"[0.13680689 0.13680689 0.13680689 0.13680689 0.13680689 0.13680689
 0.13680689 0.13680689 0.13680689]"
equal-weights,212.0,"[0.33804462 0.33804462 0.33804462 0.33804462 0.33804462 0.33804462
 0.33804462 0.33804462 0.33804462]"
ignore-weak,212.0,"[0.09090909 0.09090909 0.09090909 0.09090909 0.09090909 0.09090909
 0.09090909 0.09090909 0.09090909]"
fully-optimal,221.0,"[0.24025307 0.24025307 0.24025307 0.24025307 0.24025307 0.24025307
 0.24025307 0.24025307 0.24025307 0.24025307 0.24025307 0.24025307
 0.24025307 0.24025307 0.24025307 0.24025307 0.24025307]"
equal-weights,221.0,"[0.33804462 0.33804462 0.33804462 0.33804462 0.33804462 0.33804462
 0.33804462 0.33804462 0.33804462 0.33804462 0.33804462 0.33804462
 0.33804462 0.33804462 0.33804462 0.33804462 0.33804462]"
ignore-weak,221.0,"[0.24025307 0.24025307 0.24025307 0.24025307 0.24025307 0.24025307
 0.24025307 0.24025307 0.24025307 0.24025307 0.24025307 0.24025307
 0.24025307 0.24025307 0.24025307 0.24025307 0.24025307]"
fully-optimal,230.0,"[0.38686318 0.38686318 0.38686318 0.38686318 0.38686318 0.38686318
 0.38686318 0.38686318 0.38686318 0.38686318 0.38686318]"
equal-weights,230.0,"[0.33804462 0.33804462 0.33804462 0.33804462 0.33804462 0.33804462
 0.33804462 0.33804462 0.33804462 0.33804462 0.33804462]"
ignore-weak,230.0,"[0.38686318 0.38686318 0.38686318 0.38686318 0.38686318 0.38686318
 0.38686318 0.38686318 0.38686318 0.38686318 0.38686318]"
fully-optimal,302.0,[0.28474725 0.28474725 0.28474725]
equal-weights,302.0,[0.66195538 0.66195538 0.66195538]
ignore-weak,302.0,[0.09090909 0.09090909 0.09090909]
fully-optimal,311.0,"[0.44268837 0.44268837 0.44268837 0.44268837 0.44268837 0.44268837
 0.44268837 0.44268837 0.44268837]"
equal-weights,311.0,"[0.66195538 0.66195538 0.66195538 0.66195538 0.66195538 0.66195538
 0.66195538 0.66195538 0.66195538]"
ignore-weak,311.0,"[0.24025307 0.24025307 0.24025307 0.24025307 0.24025307 0.24025307
 0.24025307 0.24025307 0.24025307]"
fully-optimal,320.0,"[0.61313682 0.61313682 0.61313682 0.61313682 0.61313682 0.61313682
 0.61313682 0.61313682 0.61313682 0.61313682 0.61313682]"
equal-weights,320.0,"[0.66195538 0.66195538 0.66195538 0.66195538 0.66195538 0.66195538
 0.66195538 0.66195538 0.66195538 0.66195538 0.66195538]"
ignore-weak,320.0,"[0.61313682 0.61313682 0.61313682 0.61313682 0.61313682 0.61313682
 0.61313682 0.61313682 0.61313682 0.61313682 0.61313682]"
fully-optimal,401.0,[0.66613942 0.66613942 0.66613942]
equal-weights,401.0,[0.88247307 0.88247307 0.88247307]
ignore-weak,401.0,[0.24025307 0.24025307 0.24025307]
fully-optimal,410.0,[0.79923999 0.79923999 0.79923999 0.79923999 0.79923999 0.79923999]
equal-weights,410.0,[0.88247307 0.88247307 0.88247307 0.88247307 0.88247307 0.88247307]
ignore-weak,410.0,[0.79923999 0.79923999 0.79923999 0.79923999 0.79923999 0.79923999]
fully-optimal,500.0,[0.90909091 0.90909091]
equal-weights,500.0,[0.96643406 0.96643406]
ignore-weak,500.0,[0.90909091 0.90909091]
fully-optimal,1013.0,[0.05935094 0.05935094]
equal-weights,1013.0,[0.11752693 0.11752693]
ignore-weak,1013.0,[0.09090909 0.09090909]
fully-optimal,1022.0,[0.11181577 0.11181577 0.11181577 0.11181577 0.11181577]
equal-weights,1022.0,[0.11752693 0.11752693 0.11752693 0.11752693 0.11752693]
ignore-weak,1022.0,[0.24025307 0.24025307 0.24025307 0.24025307 0.24025307]
fully-optimal,1031.0,[0.20076001 0.20076001 0.20076001 0.20076001 0.20076001]
equal-weights,1031.0,[0.11752693 0.11752693 0.11752693 0.11752693 0.11752693]
ignore-weak,1031.0,[0.5 0.5 0.5 0.5 0.5]
fully-optimal,1040.0,[0.33386058 0.33386058 0.33386058]
equal-weights,1040.0,[0.11752693 0.11752693 0.11752693]
ignore-weak,1040.0,[0.75974693 0.75974693 0.75974693]
fully-optimal,1103.0,[0.13680689]
equal-weights,1103.0,[0.33804462]
ignore-weak,1103.0,[0.09090909]
fully-optimal,1112.0,"[0.24025307 0.24025307 0.24025307 0.24025307 0.24025307 0.24025307
 0.24025307]"
equal-weights,1112.0,"[0.33804462 0.33804462 0.33804462 0.33804462 0.33804462 0.33804462
 0.33804462]"
ignore-weak,1112.0,"[0.24025307 0.24025307 0.24025307 0.24025307 0.24025307 0.24025307
 0.24025307]"
fully-optimal,1121.0,"[0.38686318 0.38686318 0.38686318 0.38686318 0.38686318 0.38686318
 0.38686318 0.38686318 0.38686318 0.38686318 0.38686318 0.38686318
 0.38686318]"
equal-weights,1121.0,"[0.33804462 0.33804462 0.33804462 0.33804462 0.33804462 0.33804462
 0.33804462 0.33804462 0.33804462 0.33804462 0.33804462 0.33804462
 0.33804462]"
ignore-weak,1121.0,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5]
fully-optimal,1130.0,"[0.55731163 0.55731163 0.55731163 0.55731163 0.55731163 0.55731163
 0.55731163 0.55731163 0.55731163]"
equal-weights,1130.0,"[0.33804462 0.33804462 0.33804462 0.33804462 0.33804462 0.33804462
 0.33804462 0.33804462 0.33804462]"
ignore-weak,1130.0,"[0.75974693 0.75974693 0.75974693 0.75974693 0.75974693 0.75974693
 0.75974693 0.75974693 0.75974693]"
fully-optimal,1202.0,[0.44268837 0.44268837 0.44268837]
equal-weights,1202.0,[0.66195538 0.66195538 0.66195538]
ignore-weak,1202.0,[0.24025307 0.24025307 0.24025307]
fully-optimal,1211.0,"[0.61313682 0.61313682 0.61313682 0.61313682 0.61313682 0.61313682
 0.61313682 0.61313682 0.61313682 0.61313682 0.61313682 0.61313682
 0.61313682]"
equal-weights,1211.0,"[0.66195538 0.66195538 0.66195538 0.66195538 0.66195538 0.66195538
 0.66195538 0.66195538 0.66195538 0.66195538 0.66195538 0.66195538
 0.66195538]"
ignore-weak,1211.0,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5]
fully-optimal,1220.0,"[0.75974693 0.75974693 0.75974693 0.75974693 0.75974693 0.75974693
 0.75974693 0.75974693 0.75974693 0.75974693 0.75974693 0.75974693
 0.75974693 0.75974693 0.75974693 0.75974693 0.75974693]"
equal-weights,1220.0,"[0.66195538 0.66195538 0.66195538 0.66195538 0.66195538 0.66195538
 0.66195538 0.66195538 0.66195538 0.66195538 0.66195538 0.66195538
 0.66195538 0.66195538 0.66195538 0.66195538 0.66195538]"
ignore-weak,1220.0,"[0.75974693 0.75974693 0.75974693 0.75974693 0.75974693 0.75974693
 0.75974693 0.75974693 0.75974693 0.75974693 0.75974693 0.75974693
 0.75974693 0.75974693 0.75974693 0.75974693 0.75974693]"
fully-optimal,1301.0,[0.79923999 0.79923999 0.79923999 0.79923999 0.79923999]
equal-weights,1301.0,[0.88247307 0.88247307 0.88247307 0.88247307 0.88247307]
ignore-weak,1301.0,[0.5 0.5 0.5 0.5 0.5]
fully-optimal,1310.0,"[0.88818423 0.88818423 0.88818423 0.88818423 0.88818423 0.88818423
 0.88818423 0.88818423 0.88818423 0.88818423 0.88818423 0.88818423
 0.88818423 0.88818423 0.88818423]"
equal-weights,1310.0,"[0.88247307 0.88247307 0.88247307 0.88247307 0.88247307 0.88247307
 0.88247307 0.88247307 0.88247307 0.88247307 0.88247307 0.88247307
 0.88247307 0.88247307 0.88247307]"
ignore-weak,1310.0,"[0.75974693 0.75974693 0.75974693 0.75974693 0.75974693 0.75974693
 0.75974693 0.75974693 0.75974693 0.75974693 0.75974693 0.75974693
 0.75974693 0.75974693 0.75974693]"
fully-optimal,1400.0,[0.95227328 0.95227328 0.95227328 0.95227328 0.95227328]
equal-weights,1400.0,[0.96643406 0.96643406 0.96643406 0.96643406 0.96643406]
ignore-weak,1400.0,[0.75974693 0.75974693 0.75974693 0.75974693 0.75974693]
fully-optimal,2012.0,[0.38686318]
equal-weights,2012.0,[0.33804462]
ignore-weak,2012.0,[0.5]
fully-optimal,2021.0,[0.55731163 0.55731163 0.55731163]
equal-weights,2021.0,[0.33804462 0.33804462 0.33804462]
ignore-weak,2021.0,[0.75974693 0.75974693 0.75974693]
fully-optimal,2030.0,[0.71525275 0.71525275 0.71525275]
equal-weights,2030.0,[0.33804462 0.33804462 0.33804462]
ignore-weak,2030.0,[0.90909091 0.90909091 0.90909091]
fully-optimal,2102.0,[0.61313682]
equal-weights,2102.0,[0.66195538]
ignore-weak,2102.0,[0.5]
fully-optimal,2111.0,"[0.75974693 0.75974693 0.75974693 0.75974693 0.75974693 0.75974693
 0.75974693]"
equal-weights,2111.0,"[0.66195538 0.66195538 0.66195538 0.66195538 0.66195538 0.66195538
 0.66195538]"
ignore-weak,2111.0,"[0.75974693 0.75974693 0.75974693 0.75974693 0.75974693 0.75974693
 0.75974693]"
fully-optimal,2120.0,"[0.86319311 0.86319311 0.86319311 0.86319311 0.86319311 0.86319311
 0.86319311 0.86319311 0.86319311]"
equal-weights,2120.0,"[0.66195538 0.66195538 0.66195538 0.66195538 0.66195538 0.66195538
 0.66195538 0.66195538 0.66195538]"
ignore-weak,2120.0,"[0.90909091 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091 0.90909091 0.90909091]"
fully-optimal,2201.0,[0.88818423 0.88818423 0.88818423 0.88818423 0.88818423]
equal-weights,2201.0,[0.88247307 0.88247307 0.88247307 0.88247307 0.88247307]
ignore-weak,2201.0,[0.75974693 0.75974693 0.75974693 0.75974693 0.75974693]
fully-optimal,2210.0,"[0.94064906 0.94064906 0.94064906 0.94064906 0.94064906 0.94064906
 0.94064906 0.94064906 0.94064906 0.94064906 0.94064906 0.94064906
 0.94064906]"
equal-weights,2210.0,"[0.88247307 0.88247307 0.88247307 0.88247307 0.88247307 0.88247307
 0.88247307 0.88247307 0.88247307 0.88247307 0.88247307 0.88247307
 0.88247307]"
ignore-weak,2210.0,"[0.90909091 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091]"
fully-optimal,2300.0,"[0.97549663 0.97549663 0.97549663 0.97549663 0.97549663 0.97549663
 0.97549663]"
equal-weights,2300.0,"[0.96643406 0.96643406 0.96643406 0.96643406 0.96643406 0.96643406
 0.96643406]"
ignore-weak,2300.0,"[0.90909091 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091]"
fully-optimal,3011.0,[0.86319311]
equal-weights,3011.0,[0.66195538]
ignore-weak,3011.0,[0.90909091]
fully-optimal,3020.0,[0.92641244 0.92641244]
equal-weights,3020.0,[0.66195538 0.66195538]
ignore-weak,3020.0,[0.96934657 0.96934657]
fully-optimal,3101.0,[0.94064906 0.94064906]
equal-weights,3101.0,[0.88247307 0.88247307]
ignore-weak,3101.0,[0.90909091 0.90909091]
fully-optimal,3110.0,[0.96934657 0.96934657 0.96934657 0.96934657 0.96934657]
equal-weights,3110.0,[0.88247307 0.88247307 0.88247307 0.88247307 0.88247307]
ignore-weak,3110.0,[0.96934657 0.96934657 0.96934657 0.96934657 0.96934657]
fully-optimal,3200.0,[0.98756726 0.98756726 0.98756726 0.98756726]
equal-weights,3200.0,[0.96643406 0.96643406 0.96643406 0.96643406]
ignore-weak,3200.0,[0.96934657 0.96934657 0.96934657 0.96934657]
fully-optimal,4010.0,[0.98439834]
equal-weights,4010.0,[0.88247307]
ignore-weak,4010.0,[0.99009901]
fully-optimal,4100.0,[0.99372999]
equal-weights,4100.0,[0.96643406]
ignore-weak,4100.0,[0.99009901]
