trial_ID,observation_encoding,latent_state
1.0,122.0,1.0
2.0,1022.0,1.0
3.0,212.0,1.0
4.0,1112.0,1.0
5.0,1112.0,1.0
6.0,302.0,1.0
7.0,1202.0,1.0
8.0,2102.0,1.0
9.0,131.0,1.0
10.0,131.0,1.0
11.0,1031.0,1.0
12.0,221.0,1.0
13.0,221.0,1.0
14.0,221.0,1.0
15.0,221.0,1.0
16.0,1121.0,1.0
17.0,1121.0,1.0
18.0,1121.0,1.0
19.0,1121.0,1.0
20.0,1121.0,1.0
21.0,2021.0,1.0
22.0,2021.0,1.0
23.0,311.0,1.0
24.0,311.0,1.0
25.0,311.0,1.0
26.0,311.0,1.0
27.0,1211.0,1.0
28.0,1211.0,1.0
29.0,1211.0,1.0
30.0,1211.0,1.0
31.0,1211.0,1.0
32.0,1211.0,1.0
33.0,1211.0,1.0
34.0,1211.0,1.0
35.0,2111.0,1.0
36.0,2111.0,1.0
37.0,2111.0,1.0
38.0,2111.0,1.0
39.0,2111.0,1.0
40.0,3011.0,1.0
41.0,401.0,1.0
42.0,401.0,1.0
43.0,1301.0,1.0
44.0,1301.0,1.0
45.0,1301.0,1.0
46.0,1301.0,1.0
47.0,2201.0,1.0
48.0,2201.0,1.0
49.0,2201.0,1.0
50.0,2201.0,1.0
51.0,3101.0,1.0
52.0,3101.0,1.0
53.0,140.0,1.0
54.0,1040.0,1.0
55.0,230.0,1.0
56.0,230.0,1.0
57.0,230.0,1.0
58.0,230.0,1.0
59.0,1130.0,1.0
60.0,1130.0,1.0
61.0,1130.0,1.0
62.0,1130.0,1.0
63.0,1130.0,1.0
64.0,2030.0,1.0
65.0,2030.0,1.0
66.0,320.0,1.0
67.0,320.0,1.0
68.0,320.0,1.0
69.0,320.0,1.0
70.0,320.0,1.0
71.0,320.0,1.0
72.0,320.0,1.0
73.0,1220.0,1.0
74.0,1220.0,1.0
75.0,1220.0,1.0
76.0,1220.0,1.0
77.0,1220.0,1.0
78.0,1220.0,1.0
79.0,1220.0,1.0
80.0,1220.0,1.0
81.0,1220.0,1.0
82.0,1220.0,1.0
83.0,1220.0,1.0
84.0,1220.0,1.0
85.0,1220.0,1.0
86.0,2120.0,1.0
87.0,2120.0,1.0
88.0,2120.0,1.0
89.0,2120.0,1.0
90.0,2120.0,1.0
91.0,2120.0,1.0
92.0,2120.0,1.0
93.0,2120.0,1.0
94.0,3020.0,1.0
95.0,3020.0,1.0
96.0,410.0,1.0
97.0,410.0,1.0
98.0,410.0,1.0
99.0,410.0,1.0
100.0,410.0,1.0
101.0,1310.0,1.0
102.0,1310.0,1.0
103.0,1310.0,1.0
104.0,1310.0,1.0
105.0,1310.0,1.0
106.0,1310.0,1.0
107.0,1310.0,1.0
108.0,1310.0,1.0
109.0,1310.0,1.0
110.0,1310.0,1.0
111.0,1310.0,1.0
112.0,1310.0,1.0
113.0,1310.0,1.0
114.0,2210.0,1.0
115.0,2210.0,1.0
116.0,2210.0,1.0
117.0,2210.0,1.0
118.0,2210.0,1.0
119.0,2210.0,1.0
120.0,2210.0,1.0
121.0,2210.0,1.0
122.0,2210.0,1.0
123.0,2210.0,1.0
124.0,2210.0,1.0
125.0,2210.0,1.0
126.0,3110.0,1.0
127.0,3110.0,1.0
128.0,3110.0,1.0
129.0,3110.0,1.0
130.0,3110.0,1.0
131.0,4010.0,1.0
132.0,500.0,1.0
133.0,500.0,1.0
134.0,1400.0,1.0
135.0,1400.0,1.0
136.0,1400.0,1.0
137.0,1400.0,1.0
138.0,1400.0,1.0
139.0,2300.0,1.0
140.0,2300.0,1.0
141.0,2300.0,1.0
142.0,2300.0,1.0
143.0,2300.0,1.0
144.0,2300.0,1.0
145.0,2300.0,1.0
146.0,3200.0,1.0
147.0,3200.0,1.0
148.0,3200.0,1.0
149.0,3200.0,1.0
150.0,4100.0,1.0
151.0,14.0,2.0
152.0,104.0,2.0
153.0,23.0,2.0
154.0,23.0,2.0
155.0,23.0,2.0
156.0,23.0,2.0
157.0,113.0,2.0
158.0,113.0,2.0
159.0,113.0,2.0
160.0,113.0,2.0
161.0,113.0,2.0
162.0,1013.0,2.0
163.0,1013.0,2.0
164.0,203.0,2.0
165.0,203.0,2.0
166.0,1103.0,2.0
167.0,32.0,2.0
168.0,32.0,2.0
169.0,32.0,2.0
170.0,32.0,2.0
171.0,32.0,2.0
172.0,32.0,2.0
173.0,32.0,2.0
174.0,122.0,2.0
175.0,122.0,2.0
176.0,122.0,2.0
177.0,122.0,2.0
178.0,122.0,2.0
179.0,122.0,2.0
180.0,122.0,2.0
181.0,122.0,2.0
182.0,122.0,2.0
183.0,122.0,2.0
184.0,122.0,2.0
185.0,122.0,2.0
186.0,1022.0,2.0
187.0,1022.0,2.0
188.0,1022.0,2.0
189.0,1022.0,2.0
190.0,212.0,2.0
191.0,212.0,2.0
192.0,212.0,2.0
193.0,212.0,2.0
194.0,212.0,2.0
195.0,212.0,2.0
196.0,212.0,2.0
197.0,212.0,2.0
198.0,1112.0,2.0
199.0,1112.0,2.0
200.0,1112.0,2.0
201.0,1112.0,2.0
202.0,1112.0,2.0
203.0,2012.0,2.0
204.0,302.0,2.0
205.0,302.0,2.0
206.0,1202.0,2.0
207.0,1202.0,2.0
208.0,41.0,2.0
209.0,41.0,2.0
210.0,41.0,2.0
211.0,41.0,2.0
212.0,41.0,2.0
213.0,131.0,2.0
214.0,131.0,2.0
215.0,131.0,2.0
216.0,131.0,2.0
217.0,131.0,2.0
218.0,131.0,2.0
219.0,131.0,2.0
220.0,131.0,2.0
221.0,131.0,2.0
222.0,131.0,2.0
223.0,131.0,2.0
224.0,131.0,2.0
225.0,131.0,2.0
226.0,1031.0,2.0
227.0,1031.0,2.0
228.0,1031.0,2.0
229.0,1031.0,2.0
230.0,221.0,2.0
231.0,221.0,2.0
232.0,221.0,2.0
233.0,221.0,2.0
234.0,221.0,2.0
235.0,221.0,2.0
236.0,221.0,2.0
237.0,221.0,2.0
238.0,221.0,2.0
239.0,221.0,2.0
240.0,221.0,2.0
241.0,221.0,2.0
242.0,221.0,2.0
243.0,1121.0,2.0
244.0,1121.0,2.0
245.0,1121.0,2.0
246.0,1121.0,2.0
247.0,1121.0,2.0
248.0,1121.0,2.0
249.0,1121.0,2.0
250.0,1121.0,2.0
251.0,2021.0,2.0
252.0,311.0,2.0
253.0,311.0,2.0
254.0,311.0,2.0
255.0,311.0,2.0
256.0,311.0,2.0
257.0,1211.0,2.0
258.0,1211.0,2.0
259.0,1211.0,2.0
260.0,1211.0,2.0
261.0,1211.0,2.0
262.0,2111.0,2.0
263.0,2111.0,2.0
264.0,401.0,2.0
265.0,1301.0,2.0
266.0,2201.0,2.0
267.0,50.0,2.0
268.0,50.0,2.0
269.0,140.0,2.0
270.0,140.0,2.0
271.0,140.0,2.0
272.0,140.0,2.0
273.0,140.0,2.0
274.0,1040.0,2.0
275.0,1040.0,2.0
276.0,230.0,2.0
277.0,230.0,2.0
278.0,230.0,2.0
279.0,230.0,2.0
280.0,230.0,2.0
281.0,230.0,2.0
282.0,230.0,2.0
283.0,1130.0,2.0
284.0,1130.0,2.0
285.0,1130.0,2.0
286.0,1130.0,2.0
287.0,2030.0,2.0
288.0,320.0,2.0
289.0,320.0,2.0
290.0,320.0,2.0
291.0,320.0,2.0
292.0,1220.0,2.0
293.0,1220.0,2.0
294.0,1220.0,2.0
295.0,1220.0,2.0
296.0,2120.0,2.0
297.0,410.0,2.0
298.0,1310.0,2.0
299.0,1310.0,2.0
300.0,2210.0,2.0
